Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_Disc_D5.0mm_W2.5mm_P5.00mm",196.835000,-91.440000,90.000000,top
"C2","100nF","C_Disc_D5.0mm_W2.5mm_P5.00mm",179.055000,-86.400000,-90.000000,top
"C3","22uF","CP_Radial_D5.0mm_P2.00mm",162.560000,-67.850000,-90.000000,top
"C4","22uF","CP_Radial_D5.0mm_P2.00mm",162.560000,-73.660000,-90.000000,top
"C5","22nF","C_Disc_D5.0mm_W2.5mm_P5.00mm",179.070000,-76.200000,-90.000000,top
"C6","10uF","CP_Radial_D5.0mm_P2.00mm",136.620000,-81.280000,180.000000,top
"C7","10uF","CP_Radial_D5.0mm_P2.00mm",128.460000,-81.280000,180.000000,top
"D1","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",162.560000,-101.600000,90.000000,top
"D2","1N4007","D_DO-41_SOD81_P10.16mm_Horizontal",136.620000,-87.630000,180.000000,top
"D3","1N4007","D_DO-41_SOD81_P10.16mm_Horizontal",126.460000,-74.930000,0.000000,top
"J1","Eurorack style bus","PinHeader_2x08_P2.54mm_Vertical",118.110000,-74.930000,0.000000,top
"J4","GND","PinHeader_1x02_P2.54mm_Vertical",142.240000,-73.660000,180.000000,top
"Q1","BC559","TO-92_Inline",153.670000,-67.310000,180.000000,top
"R1","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",128.270000,-95.250000,0.000000,top
"R2","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",143.510000,-86.360000,-90.000000,top
"R3","10M","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",162.560000,-80.010000,-90.000000,top
"R4","330k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",172.720000,-80.010000,-90.000000,top
"R5","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",196.850000,-82.550000,90.000000,top
"R6","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",179.070000,-67.310000,180.000000,top
"R7","4.7k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",167.640000,-80.010000,-90.000000,top
"R8","15k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",193.040000,-67.310000,180.000000,top
"R9","4.7k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",177.800000,-95.250000,180.000000,top
"RV1","22k","PinHeader_1x03_P2.54mm_Vertical",142.225000,-101.600000,-90.000000,top
"RV2","47k","PinHeader_1x03_P2.54mm_Vertical",168.910000,-101.600000,90.000000,top
"SW1","SW_SPDT","PinHeader_1x03_P2.54mm_Vertical",127.000000,-101.600000,90.000000,top
"SW2","SW_SPDT","PinHeader_1x03_P2.54mm_Vertical",185.405000,-101.600000,-90.000000,top
"U1","LM13600","DIP-16_W7.62mm_Socket_LongPads",184.150000,-78.740000,0.000000,top
"U2","CA3046","DIP-14_W7.62mm_Socket_LongPads",148.590000,-86.360000,0.000000,top
"U3","LM741","DIP-8_W7.62mm_Socket_LongPads",148.600000,-72.400000,0.000000,top
